date,close
2021-08-21,48867.02
2021-08-22,49284.63
2021-08-23,49506.5
2021-08-24,47682.45
2021-08-25,48987.33
2021-08-26,46851.47
2021-08-27,49077.57
2021-08-28,48942.94
2021-08-29,48802.58
2021-08-30,46993.71
2021-08-31,47112.5
2021-09-01,48839.86
2021-09-02,49279.37
2021-09-03,50025
2021-09-04,49942.98
2021-09-05,51789.17
2021-09-06,52698.81
2021-09-07,46894.5
2021-09-08,46060.36
2021-09-09,46400
2021-09-10,44851.45
2021-09-11,45171.83
2021-09-12,46024.23
2021-09-13,44947.72
2021-09-14,47127.22
2021-09-15,48148.12
2021-09-16,47753.16
2021-09-17,47303.5
2021-09-18,48314.56
2021-09-19,47255.92
2021-09-20,43012.97
2021-09-21,40719.6
2021-09-22,43575.1
2021-09-23,44897.59
2021-09-24,42848.92
2021-09-25,42705.51
2021-09-26,43178.02
2021-09-27,42171.76
2021-09-28,41026.07
2021-09-29,41522.16
2021-09-30,43824.43
2021-10-01,48165.76
2021-10-02,47657.69
2021-10-03,48233.99
2021-10-04,49245.54
2021-10-05,51493.99
2021-10-06,55339.48
2021-10-07,53797.82
2021-10-08,53963.82
2021-10-09,54962.29
2021-10-10,54690.53
2021-10-11,57487.44
2021-10-12,56005.1
2021-10-13,57367.32
2021-10-14,57359.51
2021-10-15,61695.39
2021-10-16,60877.42
2021-10-17,61527.11
2021-10-18,62042.41
2021-10-19,64303.14
2021-10-20,66026.54
2021-10-21,62204.02
2021-10-22,60687.64
2021-10-23,61300.01
2021-10-24,60854.48
2021-10-25,63083.54
2021-10-26,60337.62
2021-10-27,58455.47
2021-10-28,60591.65
2021-10-29,62276.72
2021-10-30,61892.41
2021-10-31,61343.68
2021-11-01,60949.54
2021-11-02,63266.51
2021-11-03,62935.41
2021-11-04,61444.5
2021-11-05,61006.15
2021-11-06,61539.31
2021-11-07,63309.13
2021-11-08,67554.84
2021-11-09,66944.66
2021-11-10,64912.2
2021-11-11,64807.59
2021-11-12,64147.9
2021-11-13,64400.01
2021-11-14,65505.02
2021-11-15,63624.59
2021-11-16,60107.98
2021-11-17,60351.51
2021-11-18,56898
2021-11-19,58122.16
2021-11-20,59760.76
2021-11-21,58671.21
2021-11-22,56280.81
2021-11-23,57566.85
2021-11-24,57162.66
2021-11-25,58987.27
2021-11-26,53757.67
2021-11-27,54759.05
2021-11-28,57317.17
2021-11-29,57838.06
2021-11-30,56987.97
2021-12-01,57226.5
2021-12-02,56521.46
2021-12-03,53638.04
2021-12-04,49241.12
2021-12-05,49484.22
2021-12-06,50529.56
2021-12-07,50625.48
2021-12-08,50519.68
2021-12-09,47568.43
2021-12-10,47170.94
2021-12-11,49407.75
2021-12-12,50089.64
2021-12-13,46727.89
2021-12-14,48367.43
2021-12-15,48884.78
2021-12-16,47634.22
2021-12-17,46166.5
2021-12-18,46859.46
2021-12-19,46687.19
2021-12-20,46926.07
2021-12-21,48914.7
2021-12-22,48608.62
2021-12-23,50842.2
2021-12-24,50851.38
2021-12-25,50428.31
2021-12-26,50801.79
2021-12-27,50717.77
2021-12-28,47543.09
2021-12-29,46471.24
2021-12-30,47122.08
2021-12-31,46211.24
2022-01-01,47733.43
2022-01-02,47299.07
2022-01-03,46459.56
2022-01-04,45814.61
2022-01-05,43436.04
2022-01-06,43083.76
2022-01-07,41565.18
2022-01-08,41684.84
2022-01-09,41876.52
2022-01-10,41824.07
2022-01-11,42753.44
2022-01-12,43920.37
2022-01-13,42581.65
2022-01-14,43090.72
2022-01-15,43098.2
2022-01-16,43104.34
2022-01-17,42218.01
2022-01-18,42369.74
2022-01-19,41674.27
2022-01-20,40670.97
2022-01-21,36456.94
2022-01-22,35066.43
2022-01-23,36282.47
2022-01-24,36693.32
2022-01-25,36980
2022-01-26,36840.63
2022-01-27,37188.37
2022-01-28,37741.9
2022-01-29,38191.1
2022-01-30,37901.35
2022-01-31,38491.93
2022-02-01,38716.88
2022-02-02,36923.39
2022-02-03,37329.91
2022-02-04,41614.64
2022-02-05,41404.85
2022-02-06,42415.16
2022-02-07,43868.07
2022-02-08,44085.59
2022-02-09,44416.35
2022-02-10,43527.71
2022-02-11,42386.47
2022-02-12,42244.97
2022-02-13,42074.99
2022-02-14,42548.71
2022-02-15,44583.52
2022-02-16,43895.56
2022-02-17,40536.73
2022-02-18,39983.56
2022-02-19,40101.94
2022-02-20,38389.03
2022-02-21,37023
2022-02-22,38251.48
2022-02-23,37268.19
2022-02-24,38347.3
2022-02-25,39238.48
2022-02-26,39137.8
2022-02-27,37717.08
2022-02-28,43192.66
2022-03-01,44439.95
2022-03-02,43912.34
2022-03-03,42464.41
2022-03-04,39166.51
2022-03-05,39402.43
2022-03-06,38408.38
2022-03-07,37994
2022-03-08,38749.38
2022-03-09,41953.97
2022-03-10,39433.71
2022-03-11,38732.04
2022-03-12,38813.02
2022-03-13,37793.01
2022-03-14,39674.17
2022-03-15,39298.1
2022-03-16,41127.97
2022-03-17,40950.33
2022-03-18,41774.98
2022-03-19,42232.26
2022-03-20,41287.24
2022-03-21,41017.71
2022-03-22,42378.26
2022-03-23,42899.71
2022-03-24,44012.29
2022-03-25,44331.85
2022-03-26,44539.42
2022-03-27,46850.01
2022-03-28,47144.92
2022-03-29,47454.19
2022-03-30,47078.03
2022-03-31,45528.45
2022-04-01,46296.34
2022-04-02,45826.27
2022-04-03,46422.16
2022-04-04,46596.83
2022-04-05,45506.5
2022-04-06,43166.7
2022-04-07,43452.18
2022-04-08,42262.02
2022-04-09,42766.93
2022-04-10,42165.96
2022-04-11,39535.87
2022-04-12,40086.23
2022-04-13,41146.68
2022-04-14,39954.08
2022-04-15,40554.58
2022-04-16,40387.6
2022-04-17,39683.54
2022-04-18,40803.58
2022-04-19,41503.85
2022-04-20,41377.61
2022-04-21,40480.81
2022-04-22,39712.25
2022-04-23,39465.87
2022-04-24,39464.56
2022-04-25,40439.22
2022-04-26,38113.82
2022-04-27,39251.11
