symbol,session,side,signal_type,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,quantity,pnl,r_multiple,exit_reason,atr_fraction,status,leverage,margin,liquidation_price,notional,fees,gross_pnl,atr,initial_stop,trail_extreme,breakeven_done
AAPL,2026-08-18,long,john_wick,2026-08-18T09:50:00-04:00,2026-08-18T09:55:00-04:00,2026-08-18T10:01:00-04:00,306.541296,307.86841400000003,303.76247954725085,307.93,0.719730876079044,0.9551678008002984,0.4775839004001492,target,0.26580433489014565,closed,4.0,55.15680888112138,229.905972,220.6272355244855,0.0,0.9551678008002984,7.298601810996727,303.76247954725085,308.84,False
AAPL,2026-08-19,short,power_tower,2026-08-19T09:40:00-04:00,2026-08-19T09:40:00-04:00,2026-08-19T09:52:00-04:00,311.45519650000006,314.1066685320243,314.0438597600723,309.73,0.7725995230234001,-2.048526027251806,-1.0242630136259032,stop,0.4172832936600602,closed,4.0,60.157534064764846,389.31899562500007,240.63013625905938,0.0,-2.048526027251806,6.230779040289248,314.0438597600723,311.4,False
QQQ,2026-08-19,long,power_tower,2026-08-19T10:15:00-04:00,2026-08-19T10:15:00-04:00,2026-08-19T14:16:00+00:00,713.7627239999999,713.6199714551999,713.7627239999999,721.39,0.5374823085274004,-0.07672696732728257,0.0,stop,0.46537351759664014,closed,4.0,95.90870915908143,535.3220429999999,383.6348366363257,0.0,-0.07672696732728257,9.067984834619851,710.041671291345,717.86,True
NVDA,2026-08-19,long,john_wick,2026-08-19T10:00:00-04:00,2026-08-19T10:05:00-04:00,2026-08-19T16:00:00+00:00,218.818755,219.5,216.58323654901244,222.87,0.8946470556377978,0.6094738334179625,0.30473691670898123,session_close,0.6370027722659785,closed,4.0,48.94138871976966,164.11406625,195.76555487907865,0.0,0.6094738334179625,5.470933803950327,216.58323654901244,219.94,False
QQQ,2026-08-20,short,power_tower,2026-08-20T09:45:00-04:00,2026-08-20T09:45:00-04:00,2026-08-20T09:51:00-04:00,713.6797355,712.132398,717.6477927290271,711.99,0.5040249886946269,0.7798967659442853,0.3899483829721426,target,0.29077209012315797,closed,4.0,89.92810515424294,892.099669375,359.71242061697177,0.0,0.7798967659442853,9.801490916108527,717.6477927290271,711.91,False
SPY,2026-08-20,short,power_tower,2026-08-20T10:10:00-04:00,2026-08-20T10:10:00-04:00,2026-08-20T10:15:00-04:00,766.1142464999999,766.043178,769.8470527240008,765.89,0.5221153396212167,0.03710595401382359,0.019038893458481584,target,0.25807640893567396,closed,4.0,100.0,957.6428081249999,400.0,0.0,0.03710595401382359,7.032800896003039,769.8470527240008,765.69,False
TSLA,2026-08-20,long,power_tower,2026-08-20T09:40:00-04:00,2026-08-20T09:40:00-04:00,2026-08-20T14:32:00+00:00,343.558698,339.383500151964,339.45139043004997,347.405,0.4869369936238633,-2.0330582879074837,-1.0165291439537418,stop,0.48489606456323636,closed,4.0,41.82285988436219,257.6690235,167.29143953744875,0.0,-2.0330582879074837,10.589898279799968,339.45139043004997,345.46,False
GLD,2026-08-20,short,power_tower,2026-08-20T09:40:00-04:00,2026-08-20T09:40:00-04:00,2026-08-20T14:48:00+00:00,410.82531850000004,413.2272852290996,413.1446562978401,409.94,0.8623150978104916,-2.0712521749410424,-1.0356260874705212,stop,0.28980158392654076,closed,4.0,88.56521867633847,513.5316481250001,354.2608747053539,0.0,-2.0712521749410424,5.555525191360301,413.1446562978401,410.67,False
NVDA,2026-08-21,long,power_tower,2026-08-21T09:40:00-04:00,2026-08-21T09:40:00-04:00,2026-08-21T14:25:00+00:00,217.6010115,214.63539107906354,214.6783267444124,218.73,0.6843023340702055,-2.029380976013085,-1.0146904880065426,stop,0.24706443887795615,closed,4.0,37.226220016371904,163.200758625,148.90488006548762,0.0,-2.029380976013085,7.9331530223504645,214.6783267444124,217.88,False
QQQ,2026-08-21,long,power_tower,2026-08-21T09:55:00-04:00,2026-08-21T09:55:00-04:00,2026-08-21T15:52:00+00:00,711.2947304999999,715.121947,706.8559757970902,715.265,0.45057682477676775,1.724455058303289,0.8622275291516445,target,0.33016905444902606,closed,4.0,80.12323028728417,533.471047875,320.4929211491367,0.0,1.724455058303289,11.675836811639117,706.8559757970902,715.49,False
QQQ,2026-08-24,long,john_wick,2026-08-24T09:50:00-04:00,2026-08-24T09:55:00-04:00,2026-08-24T13:56:00+00:00,704.3308380000001,704.1899718324001,704.3308380000001,709.65,0.4849099136715954,-0.06830740117013458,0.0,stop,0.6816008013344097,closed,4.0,85.38425146270562,528.2481285000001,341.5370058508225,0.0,-0.06830740117013458,9.088897765189863,700.2063605587026,708.795,True
GLD,2026-08-24,long,john_wick,2026-08-24T09:55:00-04:00,2026-08-24T10:00:00-04:00,2026-08-24T15:58:00+00:00,428.15561399999996,425.6072440545401,425.6923825310463,429.41,0.8119415593734528,-2.0691274673771143,-1.0345637336885571,stop,0.3368765994347503,closed,4.0,86.90933422141453,321.11671049999995,347.6373368856581,0.0,-2.0691274673771143,6.055629875814953,425.6923825310463,429.23,False
TSLA,2026-08-24,long,power_tower,2026-08-24T09:40:00-04:00,2026-08-24T09:40:00-04:00,2026-08-24T16:00:00+00:00,354.26083800000004,355.82,349.5861902362168,363.12,0.42783972206311843,0.6670714367313578,0.3335357183656789,session_close,0.9654038692745388,closed,4.0,37.89171461694186,265.6956285,151.56685846776745,0.0,0.6670714367313578,10.990219055132844,349.5861902362168,358.685,False
SPY,2026-08-24,long,power_tower,2026-08-24T09:45:00-04:00,2026-08-24T09:45:00-04:00,2026-08-24T16:00:00+00:00,763.1125920000001,764.48,760.013260291807,764.81,0.5241690468658915,0.7167529480367714,0.44119446666041623,session_close,0.38856268220042833,closed,4.0,99.99999999999999,572.3344440000001,399.99999999999994,0.0,0.7167529480367714,6.742798832772219,760.013260291807,764.79,False
NVDA,2026-08-24,long,john_wick,2026-08-24T10:05:00-04:00,2026-08-24T10:20:00-04:00,2026-08-24T16:00:00+00:00,209.59191,210.1,207.60652140197567,215.445,1.0073594670535513,0.5118292716152202,0.25591463580761015,session_close,1.1889808827995134,closed,4.0,52.78359868908397,157.19393250000002,211.1343947563359,0.0,0.5118292716152202,4.836074392097327,207.60652140197567,210.7,False
TSLA,2026-08-25,short,john_wick,2026-08-25T09:45:00-04:00,2026-08-25T09:50:00-04:00,2026-08-25T16:00:00+00:00,351.53467900000004,354.08,355.6616510600888,349.305,0.48461680158721304,-1.2335053220327397,-0.6167526610163698,session_close,0.29730998532995806,closed,4.0,42.58990294599191,439.41834875000006,170.35961178396764,0.0,-1.2335053220327397,9.720494240355334,355.6616510600888,349.86,False
QQQ,2026-08-26,short,john_wick,2026-08-26T09:45:00-04:00,2026-08-26T09:50:00-04:00,2026-08-26T10:26:00-04:00,710.617848,708.686709,713.5956440558365,708.545,0.5628904496640226,1.0870197000737478,0.648512847686456,target,0.4320930283704911,closed,4.0,100.00000000000001,888.27231,400.00000000000006,0.0,1.0870197000737478,7.139666223345899,713.5956440558365,708.48,False
GLD,2026-08-26,short,john_wick,2026-08-26T09:50:00-04:00,2026-08-26T10:00:00-04:00,2026-08-26T14:52:00+00:00,423.96519,422.96457599999997,426.3310059572401,422.88,0.845374296288519,0.8458933561064752,0.4229466780532376,target,0.15311871659831938,closed,4.0,89.60231853676956,529.9564875,358.40927414707824,0.0,0.8458933561064752,6.33495382896041,426.3310059572401,422.87,False
TSLA,2026-08-26,short,john_wick,2026-08-26T09:45:00-04:00,2026-08-26T09:50:00-04:00,2026-08-26T16:00:00+00:00,348.435299,343.93,354.52351364568807,342.59,0.32850352958834655,1.4800066233508413,0.7400033116754207,session_close,0.6612842960482683,closed,4.0,28.61555638866772,435.54412375,114.46222555467088,0.0,1.4800066233508413,9.95033458275222,354.52351364568807,343.1,False
